"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6","6","100nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C7","1","10uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C8","1","C","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C9,C10","2","12pF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"J1,J2","2","Conn_02x12_Odd_Even","","","","MisFootprints:BM28B0624DP2035V51","~"
"J4","1","Conn_01x10","","","","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~"
"U1","1","RP2040","","","","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf"
"U2","1","LP2985-1.8","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lp2985.pdf"
"U3","1","LP2985-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lp2985.pdf"
"U4","1","W25Q16JVSS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","https://www.winbond.com/hq/support/documentation/levelOne.jsp?__locale=en&DocNo=DA00-W25Q16JV.1"
"Y1","1","12MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~"
